Anexo III,,,,,,,,,,,,,,,,
Tabela I,,,,,,,,,,,,,,,2285,
Tabela Nacional Grupos de Diagnóstico Homogéneo,,,,,,,,,,,,,,,,
All Patient Refined DRG,,,,,,,,,,,,,,,,
Preço base nacional,,2285,,,,,,,,,,,,,,
A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,
115,"Outros diagnósticos do ouvido, nariz, boca, garganta, cabeça/face",2,M,0.622,1421.27,0.126363238512035,288.74,566.265,-,1,16,24,5.1,1421.27,288.74,
115,"Outros diagnósticos do ouvido, nariz, boca, garganta, cabeça/face",3,M,0.9566,2185.831,-,-,1092.9155,-,1,29,43,8.99,2185.831,-,
115,"Outros diagnósticos do ouvido, nariz, boca, garganta, cabeça/face",4,M,3.1435,7182.8975,-,-,1795.724375,-,3,49,72,19.87,7182.8975,-,
,,,,,,,,,,,,,,,,
GCD 4,Doenças e Perturbações do Aparelho Respiratório,,,,,,,,,,,,,,,
120,Procedimentos respiratórios e torácicos major,1,C,1.3939,3185.0615,1.3939,3185.0615,-,-,1,14,20,7.51,3822.0738,3185.0615,
120,Procedimentos respiratórios e torácicos major,2,C,2.0728,4736.348,2.0728,4736.348,-,-,1,27,40,11.06,4736.348,4736.348,
120,Procedimentos respiratórios e torácicos major,3,C,4.6823,10699.0555,-,-,1782.60467606667,7831.708626,6,56,81,26.56,10699.0555,-,
120,Procedimentos respiratórios e torácicos major,4,C,10.5891,24196.0935,-,-,2687.59358653333,17711.540442,9,75,108,44.25,24196.0935,-,
121,Outros procedimentos respiratórios e torácicos,1,C,0.9458,2161.153,0.9458,2161.153,-,-,1,17,25,5.82,2593.3836,2161.153,
121,Outros procedimentos respiratórios e torácicos,2,C,1.6313,3727.5205,1.6313,3727.5205,-,-,1,34,50,10.82,4019.70304794193,3727.5205,
121,Outros procedimentos respiratórios e torácicos,3,C,3.6286,8291.351,3.6286,8291.351,-,-,1,53,77,23.73,8291.351,8291.351,
121,Outros procedimentos respiratórios e torácicos,4,C,9.8578,22525.073,-,-,2501.98412115556,16488.353436,9,71,102,41.74,22525.073,-,
130,Diagnósticos do aparelho respiratório com suporte ventilatório > 96 horas,1,M,4.5777,10460.0445,-,-,1743.34075,-,5,46,67,17.72,-,-,
130,Diagnósticos do aparelho respiratório com suporte ventilatório > 96 horas,2,M,4.876,11141.66,-,-,1856.94333333333,-,5,48,70,19.56,-,-,
130,Diagnósticos do aparelho respiratório com suporte ventilatório > 96 horas,3,M,6.3809,14580.3565,-,-,2430.05941666667,-,5,54,79,24.96,-,-,
130,Diagnósticos do aparelho respiratório com suporte ventilatório > 96 horas,4,M,8.6444,19752.454,-,-,2821.77914285714,-,6,56,81,26.37,-,-,
131,Fibrose quística - doença pulmonar,1,M,1.1633,2658.1405,-,-,664.535125,-,3,29,42,12.3,-,-,
131,Fibrose quística - doença pulmonar,2,M,1.582,3614.87,-,-,903.7175,-,3,40,59,14.91,-,-,
131,Fibrose quística - doença pulmonar,3,M,2.2934,5240.419,-,-,1310.10475,-,3,40,59,16.06,-,-,
131,Fibrose quística - doença pulmonar,4,M,2.7774,6346.359,-,-,1586.58975,-,3,40,59,19.46,-,-,
132,Displasia broncopulmonar e/ou outras doenças respiratórias crónicas com origem no período perinatal,1,M,0.3727,851.6195,-,-,425.80975,-,1,14,21,3.82,-,-,
132,Displasia broncopulmonar e/ou outras doenças respiratórias crónicas com origem no período perinatal,2,M,0.7895,1804.0075,-,-,902.00375,-,1,22,33,7.54,-,-,
132,Displasia broncopulmonar e/ou outras doenças respiratórias crónicas com origem no período perinatal,3,M,0.9393,2146.3005,-,-,1073.15025,-,1,22,33,9.71,-,-,
132,Displasia broncopulmonar e/ou outras doenças respiratórias crónicas com origem no período perinatal,4,M,3.14,7174.9,-,-,1434.98,-,4,47,69,18.78,-,-,
133,Edema pulmonar e/ou insuficiência respiratória,1,M,0.5418,1238.013,0.126363238512035,288.74,474.6365,-,1,19,28,5.94,-,-,
133,Edema pulmonar e/ou insuficiência respiratória,2,M,0.8506,1943.621,0.126363238512035,288.74,827.4405,-,1,28,42,7.39,-,-,
133,Edema pulmonar e/ou insuficiência respiratória,3,M,1.2877,2942.3945,0.126363238512035,288.74,1326.82725,-,1,33,49,10.61,-,-,
133,Edema pulmonar e/ou insuficiência respiratória,4,M,2.6914,6149.849,-,-,2049.94966666667,-,2,43,64,13.41,-,-,
134,Embolia pulmonar,1,M,0.7549,1724.9465,-,-,574.982166666667,-,2,21,31,9.25,-,-,
134,Embolia pulmonar,2,M,0.985,2250.725,-,-,750.241666666667,-,2,30,44,11.16,-,-,
134,Embolia pulmonar,3,M,1.557,3557.745,-,-,1185.915,-,2,37,55,15.13,-,-,
134,Embolia pulmonar,4,M,2.8216,6447.356,-,-,2149.11866666667,-,2,46,68,16.63,-,-,
135,Traumatismos respiratórios e torácicos major,1,M,0.5202,1188.657,-,-,594.3285,-,1,15,22,5.65,-,-,
135,Traumatismos respiratórios e torácicos major,2,M,0.847,1935.395,-,-,645.131666666667,-,2,22,32,8.59,-,-,
135,Traumatismos respiratórios e torácicos major,3,M,1.5837,3618.7545,-,-,904.688625,-,3,37,54,13.54,-,-,
135,Traumatismos respiratórios e torácicos major,4,M,3.2385,7399.9725,-,-,1233.32875,-,5,49,71,19.91,-,-,
136,Doenças malignas respiratórias,1,M,0.4504,1029.164,-,-,514.582,-,1,22,33,5.84,-,-,
136,Doenças malignas respiratórias,2,M,0.8758,2001.203,-,-,667.067666666667,-,2,36,53,10.47,-,-,
136,Doenças malignas respiratórias,3,M,1.6373,3741.2305,-,-,935.307625,-,3,45,66,15.65,-,-,
136,Doenças malignas respiratórias,4,M,2.8519,6516.5915,-,-,1303.3183,-,4,49,72,19.55,-,-,
137,Infeções e/ou inflamações respiratórias major,1,M,0.8681,1983.6085,-,-,661.202833333333,-,2,35,52,13.09,-,-,
137,Infeções e/ou inflamações respiratórias major,2,M,1.0622,2427.127,-,-,606.78175,-,3,39,57,14.26,-,-,
137,Infeções e/ou inflamações respiratórias major,3,M,1.7416,3979.556,-,-,795.9112,-,4,48,70,18.77,-,-,
137,Infeções e/ou inflamações respiratórias major,4,M,3.325,7597.625,-,-,1266.27083333333,-,5,51,74,22.83,-,-,
138,Broquiolite e pneumonia por vírus sincicial respiratório,1,M,0.2855,652.3675,-,-,326.18375,-,1,12,18,4.66,-,-,
138,Broquiolite e pneumonia por vírus sincicial respiratório,2,M,0.4149,948.0465,-,-,474.02325,-,1,18,27,6.06,-,-,
138,Broquiolite e pneumonia por vírus sincicial respiratório,3,M,1.0947,2501.3895,-,-,833.7965,-,2,22,32,8.31,-,-,
138,Broquiolite e pneumonia por vírus sincicial respiratório,4,M,2.7564,6298.374,-,-,2099.458,-,2,30,44,10.63,-,-,
139,Outras pneumonias,1,M,0.4049,925.1965,-,-,462.59825,-,1,18,27,6.72,-,-,
139,Outras pneumonias,2,M,0.6419,1466.7415,-,-,488.913833333333,-,2,23,34,9.5,-,-,
139,Outras pneumonias,3,M,1.0753,2457.0605,-,-,819.020166666667,-,2,33,49,12.19,-,-,
139,Outras pneumonias,4,M,2.1373,4883.7305,-,-,1220.932625,-,3,41,60,13.46,-,-,
140,Doença pulmonar obstrutiva crónica,1,M,0.4683,1070.0655,0.126363238512035,288.74,390.66275,-,1,21,31,6.85,-,-,
140,Doença pulmonar obstrutiva crónica,2,M,0.6288,1436.808,0.126363238512035,288.74,574.034,-,1,22,32,8.29,-,-,
140,Doença pulmonar obstrutiva crónica,3,M,0.9252,2114.082,-,-,704.694,-,2,27,40,10.66,-,-,
140,Doença pulmonar obstrutiva crónica,4,M,1.8638,4258.783,-,-,1419.59433333333,-,2,36,53,12.74,-,-,
141,Asma,1,M,0.3077,703.0945,-,-,351.54725,-,1,11,16,4.08,-,-,
141,Asma,2,M,0.5359,1224.5315,-,-,612.26575,-,1,19,28,7.22,-,-,
141,Asma,3,M,0.8562,1956.417,-,-,652.139,-,2,22,32,8.27,-,-,
141,Asma,4,M,1.4281,3263.2085,-,-,1087.73616666667,-,2,26,38,10.4,-,-,
142,Doença Pulmonar Intersticial e Alveolar,1,M,0.4772,1090.402,-,-,545.201,-,1,20,30,6.5,-,-,
142,Doença Pulmonar Intersticial e Alveolar,2,M,0.8396,1918.486,-,-,639.495333333333,-,2,31,46,10.14,-,-,
142,Doença Pulmonar Intersticial e Alveolar,3,M,1.4173,3238.5305,-,-,809.632625,-,3,42,62,13.75,-,-,
142,Doença Pulmonar Intersticial e Alveolar,4,M,3.2004,7312.914,-,-,1462.5828,-,4,47,69,17.91,-,-,
143,"Outros diagnósticos respiratórios exceto sinais, sintomas e/ou diagnósticos minor",1,M,0.4419,1009.7415,0.126363238512035,288.74,360.50075,-,1,14,21,5.24,-,-,
143,"Outros diagnósticos respiratórios exceto sinais, sintomas e/ou diagnósticos minor",2,M,0.7745,1769.7325,0.126363238512035,288.74,740.49625,-,1,30,44,8.92,-,-,
143,"Outros diagnósticos respiratórios exceto sinais, sintomas e/ou diagnósticos minor",3,M,1.3801,3153.5285,0.126363238512035,288.74,1432.39425,-,1,41,61,12.55,-,-,
143,"Outros diagnósticos respiratórios exceto sinais, sintomas e/ou diagnósticos minor",4,M,2.6072,5957.452,-,-,1489.363,-,3,45,66,15.78,-,-,
144,"Sinais, sintomas e/ou diagnósticos minor respiratórios",1,M,0.3851,879.9535,0.126363238512035,288.74,295.60675,-,1,17,25,5.75,-,-,
144,"Sinais, sintomas e/ou diagnósticos minor respiratórios",2,M,0.5646,1290.111,0.126363238512035,288.74,500.6855,-,1,22,32,8.38,-,-,
144,"Sinais, sintomas e/ou diagnósticos minor respiratórios",3,M,0.8504,1943.164,-,-,647.721333333333,-,2,29,43,11.05,-,-,
144,"Sinais, sintomas e/ou diagnósticos minor respiratórios",4,M,1.8107,4137.4495,-,-,1034.362375,-,3,40,59,14.31,-,-,
,,,,,,,,,,,,,,,,
GCD 5,Doenças e Perturbações do Aparelho Circulatório,,,,,,,,,,,,,,,
160,Reparação cardiotorácica major de anomalia cardíaca,1,C,2.5792,5893.472,2.5792,5893.472,-,-,1,15,22,7.72,6746.03952474502,5893.472,
160,Reparação cardiotorácica major de anomalia cardíaca,2,C,3.927,8973.195,3.927,8973.195,-,-,1,22,32,11.66,8973.195,8973.195,
160,Reparação cardiotorácica major de anomalia cardíaca,3,C,5.9652,13630.482,-,-,3406.5288684,9977.512824,4,48,70,19.44,13630.482,-,
160,Reparação cardiotorácica major de anomalia cardíaca,4,C,16.1552,36914.632,-,-,6150.46773226667,27021.510624,6,63,92,33.57,36914.632,-,
161,Implante de desfibrilhador cardíaco e/ou de sistema de assistência cardíaco,1,C,1.7912,4092.892,1.7912,4092.892,-,-,1,13,19,4.68,4911.4704,4092.892,
161,Implante de desfibrilhador cardíaco e/ou de sistema de assistência cardíaco,2,C,4.6715,10674.3775,4.6715,10674.3775,-,-,1,46,67,16.95,10674.3775,10674.3775,
161,Implante de desfibrilhador cardíaco e/ou de sistema de assistência cardíaco,3,C,9.1844,20986.354,-,-,2997.0901456,15362.011128,7,60,87,31,20986.354,-,
161,Implante de desfibrilhador cardíaco e/ou de sistema de assistência cardíaco,4,C,24.3812,55711.042,-,-,6188.13277351111,40780.482744,9,60,86,24.57,55711.042,-,
162,"Procedimentos nas válvulas cardíacas, com cateterismo cardíaco",1,C,4.2429,9695.0265,-,-,2422.9801743,7096.759398,4,47,69,17.37,9695.0265,-,
162,"Procedimentos nas válvulas cardíacas, com cateterismo cardíaco",2,C,4.924,11251.34,-,-,2811.933908,8235.98088,4,49,72,19.58,11251.34,-,
162,"Procedimentos nas válvulas cardíacas, com cateterismo cardíaco",3,C,7.8425,17920.1125,-,-,2559.19597,13117.52235,7,57,82,27.47,17920.1125,-,
162,"Procedimentos nas válvulas cardíacas, com cateterismo cardíaco",4,C,15.2757,34904.9745,-,-,3489.37926876,25550.441334,10,71,102,41.72,34904.9745,-,
163,"Procedimentos nas válvulas cardíacas, sem cateterismo cardíaco",1,C,3.0648,7003.068,3.0648,7003.068,-,-,1,16,23,9.54,8403.6816,7003.068,
163,"Procedimentos nas válvulas cardíacas, sem cateterismo cardíaco",2,C,3.4004,7769.914,3.4004,7769.914,-,-,1,22,32,10.8,9323.8968,7769.914,
163,"Procedimentos nas válvulas cardíacas, sem cateterismo cardíaco",3,C,5.5907,12774.7495,-,-,4256.88570253333,9351.116634,3,50,74,20.38,13921.4421192247,-,
163,"Procedimentos nas válvulas cardíacas, sem cateterismo cardíaco",4,C,13.9986,31986.801,-,-,3197.65540248,23414.338332,10,68,97,38.61,31986.801,-,
165,Bypass coronário com cateterismo cardíaco ou procedimento percutâneo cardíaco,1,C,3.4691,7926.8935,-,-,2641.45137293333,5802.486042,3,34,50,14.6,7926.8935,-,
165,Bypass coronário com cateterismo cardíaco ou procedimento percutâneo cardíaco,2,C,4.067,9293.095,-,-,3096.70598533333,6802.54554,3,35,51,16.1,8823.47023806979,-,
165,Bypass coronário com cateterismo cardíaco ou procedimento percutâneo cardíaco,3,C,5.3476,12219.266,-,-,2443.07031136,8944.502712,5,51,74,21.76,12219.266,-,
165,Bypass coronário com cateterismo cardíaco ou procedimento percutâneo cardíaco,4,C,12.7413,29113.8705,-,-,2425.3786557,21311.353206,12,76,108,46.67,29113.8705,-,
166,Bypass coronário sem cateterismo cardíaco ou procedimento percutâneo cardíaco,1,C,2.2192,5070.872,2.2192,5070.872,-,-,1,12,18,8.12,5194.12838271478,5070.872,
166,Bypass coronário sem cateterismo cardíaco ou procedimento percutâneo cardíaco,2,C,2.7417,6264.7845,-,-,6262.7775756,4585.822254,1,18,27,9.12,5687.20947401795,-,
166,Bypass coronário sem cateterismo cardíaco ou procedimento percutâneo cardíaco,3,C,3.7149,8488.5465,-,-,4242.9135966,6213.616038,2,22,32,12.23,8977.65024327641,-,
166,Bypass coronário sem cateterismo cardíaco ou procedimento percutâneo cardíaco,4,C,11.1861,25560.2385,-,-,2555.20502748,18710.094582,10,69,99,39.54,25560.2385,-,
167,Outros procedimentos cardiotorácicos,1,C,2.2003,5027.6855,2.2003,5027.6855,-,-,1,17,25,5.34,6033.2226,5027.6855,
167,Outros procedimentos cardiotorácicos,2,C,2.9304,6695.964,2.9304,6695.964,-,-,1,21,31,11.03,6695.964,6695.964,
167,Outros procedimentos cardiotorácicos,3,C,4.4372,10139.002,4.4372,10139.002,-,-,1,37,55,14.69,10139.002,10139.002,
167,Outros procedimentos cardiotorácicos,4,C,10.8449,24780.5965,-,-,4954.53160664,18139.396638,5,59,86,29.84,24780.5965,-,
169,Procedimentos vasculares torácicos e/ou abdominais major,1,C,1.7266,3945.281,1.7266,3945.281,-,-,1,25,37,10.45,4640.26315107325,3945.281,
169,Procedimentos vasculares torácicos e/ou abdominais major,2,C,2.4938,5698.333,2.4938,5698.333,-,-,1,34,50,13.15,5679.93425232321,5698.333,
169,Procedimentos vasculares torácicos e/ou abdominais major,3,C,4.5362,10365.217,4.5362,10365.217,-,-,1,48,71,18.6,10365.217,10365.217,
169,Procedimentos vasculares torácicos e/ou abdominais major,4,C,10.8993,24904.9005,-,-,4979.38444248,18230.387166,5,63,92,33.8,24904.9005,-,
170,"Implantação de pacemaker cardíaco permanente, com enfarte agudo do miocárdio/insuficiência cardíaca/choque",1,C,1.2907,2949.2495,1.2907,2949.2495,-,-,1,20,30,6.13,2949.2495,2949.2495,
170,"Implantação de pacemaker cardíaco permanente, com enfarte agudo do miocárdio/insuficiência cardíaca/choque",2,C,1.9764,4516.074,-,-,2257.3136376,3305.766168,2,41,61,11.45,4516.074,-,
170,"Implantação de pacemaker cardíaco permanente, com enfarte agudo do miocárdio/insuficiência cardíaca/choque",3,C,2.9721,6791.2485,-,-,1357.81458456,4971.193902,5,49,71,19.74,6791.2485,-,
170,"Implantação de pacemaker cardíaco permanente, com enfarte agudo do miocárdio/insuficiência cardíaca/choque",4,C,6.1218,13988.313,-,-,2330.6386404,10239.445116,6,55,80,25.56,13988.313,-,
171,"Implantação de pacemaker cardíaco permanente, sem enfarte agudo do miocárdio/insuficiência cardíaca/choque",1,C,0.7391,1688.8435,0.7391,1688.8435,-,-,1,10,15,3.16,1946.76538322499,1688.8435,
171,"Implantação de pacemaker cardíaco permanente, sem enfarte agudo do miocárdio/insuficiência cardíaca/choque",2,C,1.0895,2489.5075,1.0895,2489.5075,-,-,1,17,25,5.95,2489.5075,2489.5075,
171,"Implantação de pacemaker cardíaco permanente, sem enfarte agudo do miocárdio/insuficiência cardíaca/choque",3,C,2.0317,4642.4345,2.0317,4642.4345,-,-,1,34,50,11.48,4642.4345,4642.4345,
171,"Implantação de pacemaker cardíaco permanente, sem enfarte agudo do miocárdio/insuficiência cardíaca/choque",4,C,5.6035,12803.9975,-,-,2559.9791476,9372.52617,5,58,85,28.59,12803.9975,-,
173,Outros procedimentos vasculares,1,C,1.4034,3206.769,1.4034,3206.769,-,-,1,23,34,6.95,2244.7383,2244.7383,
173,Outros procedimentos vasculares,2,C,2.0337,4647.0045,2.0337,4647.0045,-,-,1,37,55,12.3,4647.0045,4647.0045,
173,Outros procedimentos vasculares,3,C,3.5806,8181.671,3.5806,8181.671,-,-,1,52,76,23.16,8181.671,8181.671,
173,Outros procedimentos vasculares,4,C,9.9558,22749.003,-,-,2274.17153544,16652.270196,10,73,105,43.27,22749.003,-,
174,Procedimentos cardiovasculares percutâneos com enfarte agudo do miocárdio,1,C,1.325,3027.625,1.325,3027.625,-,-,1,10,15,5.21,3027.625,3027.625,
174,Procedimentos cardiovasculares percutâneos com enfarte agudo do miocárdio,2,C,1.5605,3565.7425,1.5605,3565.7425,-,-,1,16,24,7.34,3565.7425,3565.7425,
174,Procedimentos cardiovasculares percutâneos com enfarte agudo do miocárdio,3,C,2.4657,5634.1245,2.4657,5634.1245,-,-,1,32,47,11.67,5634.1245,5634.1245,
174,Procedimentos cardiovasculares percutâneos com enfarte agudo do miocárdio,4,C,4.7793,10920.7005,-,-,3639.0673508,7993.952766,3,45,66,15.66,10920.7005,-,
175,Procedimentos cardiovasculares percutâneos sem enfarte agudo do miocárdio,1,C,0.9207,2103.7995,0.9207,2103.7995,-,-,1,4,6,2.12,2183.52446196205,2103.7995,
175,Procedimentos cardiovasculares percutâneos sem enfarte agudo do miocárdio,2,C,1.2124,2770.334,1.2124,2770.334,-,-,1,16,24,4.73,2770.334,2770.334,
175,Procedimentos cardiovasculares percutâneos sem enfarte agudo do miocárdio,3,C,2.1937,5012.6045,2.1937,5012.6045,-,-,1,24,36,8.98,5012.6045,5012.6045,
175,Procedimentos cardiovasculares percutâneos sem enfarte agudo do miocárdio,4,C,5.0047,11435.7395,-,-,5716.0380298,8370.961314,2,39,58,16.13,11435.7395,-,
176,Substituição de pacemaker e/ou desfibrilhador cardíaco,1,C,0.7259,1658.6815,0.7259,1658.6815,-,-,1,4,6,2.27,1606.31930405139,1594.39362804432,
176,Substituição de pacemaker e/ou desfibrilhador cardíaco,2,C,1.4328,3273.948,1.4328,3273.948,-,-,1,7,10,3.83,3273.948,3273.948,
176,Substituição de pacemaker e/ou desfibrilhador cardíaco,3,C,1.7809,4069.3565,1.7809,4069.3565,-,-,1,28,42,7.62,4069.3565,4069.3565,
176,Substituição de pacemaker e/ou desfibrilhador cardíaco,4,C,5.5118,12594.463,-,-,2098.40472706667,9219.146916,6,56,81,26,12594.463,-,
177,Revisão de pacemaker e/ou desfibrilhador cardíaco exceto substituição,1,C,0.7711,1761.9635,0.7711,1761.9635,-,-,1,8,12,3.13,1761.9635,1761.9635,
177,Revisão de pacemaker e/ou desfibrilhador cardíaco exceto substituição,2,C,1.3174,3010.259,1.3174,3010.259,-,-,1,25,37,7.91,3010.259,3010.259,
177,Revisão de pacemaker e/ou desfibrilhador cardíaco exceto substituição,3,C,2.843,6496.255,-,-,3247.086962,4755.25866,2,49,73,20.34,6496.255,-,
177,Revisão de pacemaker e/ou desfibrilhador cardíaco exceto substituição,4,C,7.5011,17140.0135,-,-,1557.68388134545,12546.489882,11,71,101,41.14,17140.0135,-,
180,Outros procedimentos no aparelho circulatório,1,C,0.7437,1699.3545,0.7437,1699.3545,-,-,1,4,6,2.23,1189.54815,1189.54815,
180,Outros procedimentos no aparelho circulatório,2,C,2.2024,5032.484,2.2024,5032.484,-,-,1,45,67,15.72,5032.484,5032.484,
180,Outros procedimentos no aparelho circulatório,3,C,3.5865,8195.1525,3.5865,8195.1525,-,-,1,54,79,23.91,8195.1525,8195.1525,
180,Outros procedimentos no aparelho circulatório,4,C,8.8285,20173.1225,-,-,2240.74000422222,14766.72567,9,69,99,38.67,20173.1225,-,
190,Enfarte agudo do miocárdio,1,M,0.753,1720.605,0.3647,833.42,443.5925,-,1,12,18,5.59,-,-,
190,Enfarte agudo do miocárdio,2,M,0.8897,2032.9645,0.3647,833.42,599.77225,-,1,19,28,7.89,-,-,
190,Enfarte agudo do miocárdio,3,M,1.4106,3223.221,0.3647,833.42,796.600333333333,-,2,34,50,11.7,-,-,
190,Enfarte agudo do miocárdio,4,M,2.9277,6689.7945,-,-,2229.9315,-,2,44,65,15.21,-,-,
191,Cateterização cardíaca com perturbações circulatórias exceto doença isquémica cardíaca,1,M,0.6428,1468.798,0.3647352297593,833.42,317.689,-,1,4,6,2.6,-,-,
191,Cateterização cardíaca com perturbações circulatórias exceto doença isquémica cardíaca,2,M,0.9548,2181.718,0.3647352297593,833.42,674.149,-,1,22,33,5.94,-,-,
191,Cateterização cardíaca com perturbações circulatórias exceto doença isquémica cardíaca,3,M,1.7739,4053.3615,0.3647352297593,833.42,1609.97075,-,1,35,52,11.96,-,-,
191,Cateterização cardíaca com perturbações circulatórias exceto doença isquémica cardíaca,4,M,5.1359,11735.5315,-,-,2347.1063,-,4,52,76,21.94,-,-,
192,Cateterização cardíaca para doença isquémica cardíaca,1,M,0.5669,1295.3665,0.3647352297593,833.42,230.97325,-,1,7,10,2.54,-,-,
192,Cateterização cardíaca para doença isquémica cardíaca,2,M,0.6784,1550.144,0.3647352297593,833.42,358.362,-,1,13,19,4.21,-,-,
192,Cateterização cardíaca para doença isquémica cardíaca,3,M,1.2259,2801.1815,0.3647352297593,833.42,983.88075,-,1,29,43,8.93,-,-,
192,Cateterização cardíaca para doença isquémica cardíaca,4,M,3.4403,7861.0855,-,-,1965.271375,-,3,46,68,15.1,-,-,
193,Endocardite aguda e/ou subaguda,1,M,1.8945,4328.9325,-,-,865.7865,-,4,51,75,21.09,-,-,
193,Endocardite aguda e/ou subaguda,2,M,2.6801,6124.0285,-,-,612.40285,-,9,64,92,34.69,-,-,
193,Endocardite aguda e/ou subaguda,3,M,3.6724,8391.434,-,-,762.857636363637,-,10,67,96,37.96,-,-,
193,Endocardite aguda e/ou subaguda,4,M,5.4901,12544.8785,-,-,1140.4435,-,10,67,96,36.02,-,-,
194,Insuficiência cardíaca,1,M,0.5112,1168.092,-,-,584.046,-,1,21,31,6.93,-,-,
194,Insuficiência cardíaca,2,M,0.7405,1692.0425,-,-,846.02125,-,1,25,37,9.22,-,-,
194,Insuficiência cardíaca,3,M,1.1333,2589.5905,-,-,863.196833333333,-,2,33,49,12.1,-,-,
194,Insuficiência cardíaca,4,M,2.6028,5947.398,-,-,1189.4796,-,4,47,69,17.8,-,-,
196,Paragem cardíaca,1,M,0.5115,1168.7775,-,-,584.38875,-,1,10,15,2.33,-,-,
196,Paragem cardíaca,2,M,0.6319,1443.8915,-,-,721.94575,-,1,13,19,4.71,-,-,
196,Paragem cardíaca,3,M,1.1828,2702.698,-,-,1351.349,-,1,25,37,6.06,-,-,
196,Paragem cardíaca,4,M,2.7298,6237.593,-,-,3118.7965,-,1,28,42,9.5,-,-,
197,Perturbações vasculares periféricas e/ou outras perturbações vasculares,1,M,0.4264,974.324,-,-,487.162,-,1,20,30,6.33,-,-,
197,Perturbações vasculares periféricas e/ou outras perturbações vasculares,2,M,0.8033,1835.5405,-,-,611.846833333333,-,2,36,53,11.15,-,-,
197,Perturbações vasculares periféricas e/ou outras perturbações vasculares,3,M,1.2666,2894.181,-,-,723.54525,-,3,41,60,14.03,-,-,
197,Perturbações vasculares periféricas e/ou outras perturbações vasculares,4,M,2.9176,6666.716,-,-,1666.679,-,3,50,74,20.76,-,-,
198,Angina de peito e/ou aterosclerose coronária,1,M,0.3642,832.197,-,-,416.0985,-,1,13,19,3.65,-,-,
198,Angina de peito e/ou aterosclerose coronária,2,M,0.537,1227.045,-,-,613.5225,-,1,21,31,7.39,-,-,
198,Angina de peito e/ou aterosclerose coronária,3,M,0.8392,1917.572,-,-,958.786,-,1,34,51,11.27,-,-,
198,Angina de peito e/ou aterosclerose coronária,4,M,1.8928,4325.048,-,-,2162.524,-,1,42,63,12.83,-,-,
199,Hipertensão,1,M,0.3633,830.1405,-,-,415.07025,-,1,13,19,3.91,-,-,
199,Hipertensão,2,M,0.5849,1336.4965,-,-,668.24825,-,1,21,31,6.79,-,-,
199,Hipertensão,3,M,0.958,2189.03,-,-,729.676666666667,-,2,31,46,11.15,-,-,
199,Hipertensão,4,M,2.9518,6744.863,-,-,1348.9726,-,4,49,72,20.05,-,-,
200,Perturbações estruturais e/ou valvulares cardíacas,1,M,0.4534,1036.019,-,-,518.0095,-,1,13,19,4.1,-,-,
200,Perturbações estruturais e/ou valvulares cardíacas,2,M,0.7144,1632.404,-,-,816.202,-,1,29,43,8.68,-,-,
200,Perturbações estruturais e/ou valvulares cardíacas,3,M,1.3829,3159.9265,-,-,1053.30883333333,-,2,40,59,14.02,-,-,
200,Perturbações estruturais e/ou valvulares cardíacas,4,M,3.7996,8682.086,-,-,2170.5215,-,3,50,74,21.42,-,-,
201,Arritmia e/ou perturbações da condução cardíaca,1,M,0.3398,776.443,-,-,388.2215,-,1,10,15,3.29,-,-,
201,Arritmia e/ou perturbações da condução cardíaca,2,M,0.539,1231.615,-,-,615.8075,-,1,20,30,6.23,-,-,
201,Arritmia e/ou perturbações da condução cardíaca,3,M,0.9495,2169.6075,-,-,723.2025,-,2,28,41,9.96,-,-,
201,Arritmia e/ou perturbações da condução cardíaca,4,M,2.2903,5233.3355,-,-,1308.333875,-,3,43,63,13.67,-,-,
203,Dor torácica,1,M,0.2735,624.9475,-,-,312.47375,-,1,7,10,2.43,-,-,
203,Dor torácica,2,M,0.3127,714.5195,-,-,357.25975,-,1,13,19,3.9,-,-,
203,Dor torácica,3,M,0.4349,993.7465,-,-,496.87325,-,1,14,21,8.45,-,-,
203,Dor torácica,4,M,0.8222,1878.727,-,-,939.3635,-,1,14,21,1,-,-,
204,Sincope e/ou colapso,1,M,0.3358,767.303,-,-,383.6515,-,1,13,19,8.99,-,-,
204,Sincope e/ou colapso,2,M,0.4215,963.1275,-,-,481.56375,-,1,20,30,6.02,-,-,
204,Sincope e/ou colapso,3,M,0.6519,1489.5915,-,-,496.5305,-,2,30,44,9.48,-,-,
204,Sincope e/ou colapso,4,M,1.4345,3277.8325,-,-,1092.61083333333,-,2,39,58,9.67,-,-,
205,Cardiomiopatia,1,M,0.4498,1027.793,-,-,513.8965,-,1,19,28,5.09,-,-,
205,Cardiomiopatia,2,M,0.7884,1801.494,-,-,600.498,-,2,25,37,8.65,-,-,
205,Cardiomiopatia,3,M,1.2676,2896.466,-,-,724.1165,-,3,39,57,13.18,-,-,
205,Cardiomiopatia,4,M,3.9447,9013.6395,-,-,1287.66278571429,-,6,51,74,22.1,-,-,
206,"Disfunção, reacção e/ou complicação de dispositivo ou procedimento em B.O., cardíaco ou vascular",1,M,0.4217,963.5845,-,-,481.79225,-,1,19,28,5.78,-,-,
206,"Disfunção, reacção e/ou complicação de dispositivo ou procedimento em B.O., cardíaco ou vascular",2,M,0.6596,1507.186,-,-,753.593,-,1,28,42,8.49,-,-,
